1.160999999999983 [0.05, 0.48] 5 48
0.6290000000000004 [0.05, 0.49] 5 49
0.8300000000000006 [0.05, 0.5] 5 50
0.7910000000000006 [0.05, 0.51] 5 51
0.7430000000000005 [0.05, 0.52] 5 52
1.0819999999999916 [0.05, 0.53] 5 53
1.0179999999999987 [0.05, 0.54] 5 54
0.9280000000000007 [0.05, 0.55] 5 55
1.0729999999999926 [0.05, 0.56] 5 56
2.1739999999998716 [0.05, 0.57] 5 57
5.0060000000000064 [0.05, 0.58] 5 58
4.785999999999933 [0.05, 0.59] 5 59
20.00000000000146 [0.05, 0.6] 5 60
12.590999999998461 [0.05, 0.61] 5 61
8.229000000000879 [0.05, 0.62] 5 62
10.073999999999856 [0.05, 0.63] 5 63
12.941999999998266 [0.05, 0.64] 5 64
17.13499999999796 [0.05, 0.65] 5 65
20.00000000000146 [0.05, 0.66] 5 66
20.00000000000146 [0.05, 0.67] 5 67
13.40399999999801 [0.05, 0.68] 5 68
11.891999999998848 [0.05, 0.69] 5 69
8.529000000000712 [0.05, 0.7] 5 70
6.1770000000003975 [0.05, 0.71] 5 71
5.089000000000034 [0.05, 0.72] 5 72
4.759999999999924 [0.05, 0.73] 5 73
4.5869999999998665 [0.05, 0.74] 5 74
3.414999999999735 [0.05, 0.75] 5 75
1.6249999999999318 [0.05, 0.76] 5 76
1.0549999999999946 [0.05, 0.77] 5 77
0.9560000000000007 [0.05, 0.78] 5 78
1.2499999999999731 [0.05, 0.79] 5 79
1.1119999999999883 [0.05, 0.8] 5 80
0.7720000000000006 [0.05, 0.81] 5 81
1.0299999999999974 [0.05, 0.82] 5 82
0.8120000000000006 [0.05, 0.83] 5 83
0.6280000000000004 [0.05, 0.84] 5 84
0.7190000000000005 [0.05, 0.85] 5 85
0.8190000000000006 [0.05, 0.86] 5 86
1.0999999999999897 [0.05, 0.87] 5 87
1.8279999999999095 [0.05, 0.88] 5 88
