0.7510000000000006 [-0.48, 0.97] 2 97
0.7160000000000005 [-0.48, 0.98] 2 98
0.7020000000000005 [-0.48, 0.99] 2 99
0.2660000000000002 [-0.47, 0.0] 3 0
0.5830000000000004 [-0.47, 0.01] 3 1
0.22000000000000017 [-0.47, 0.02] 3 2
0.32300000000000023 [-0.47, 0.03] 3 3
0.23900000000000018 [-0.47, 0.04] 3 4
0.2740000000000002 [-0.47, 0.05] 3 5
0.5390000000000004 [-0.47, 0.06] 3 6
0.5790000000000004 [-0.47, 0.07] 3 7
0.4210000000000003 [-0.47, 0.08] 3 8
0.3980000000000003 [-0.47, 0.09] 3 9
0.46000000000000035 [-0.47, 0.1] 3 10
1.7839999999999143 [-0.47, 0.11] 3 11
0.24000000000000019 [-0.47, 0.12] 3 12
0.3920000000000003 [-0.47, 0.13] 3 13
0.3020000000000002 [-0.47, 0.14] 3 14
0.5210000000000004 [-0.47, 0.15] 3 15
0.32400000000000023 [-0.47, 0.16] 3 16
0.2460000000000002 [-0.47, 0.17] 3 17
0.23700000000000018 [-0.47, 0.18] 3 18
0.25100000000000017 [-0.47, 0.19] 3 19
0.33300000000000024 [-0.47, 0.2] 3 20
0.5290000000000004 [-0.47, 0.21] 3 21
0.34500000000000025 [-0.47, 0.22] 3 22
0.3910000000000003 [-0.47, 0.23] 3 23
0.3170000000000002 [-0.47, 0.24] 3 24
0.5950000000000004 [-0.47, 0.25] 3 25
0.3820000000000003 [-0.47, 0.26] 3 26
0.2990000000000002 [-0.47, 0.27] 3 27
0.2790000000000002 [-0.47, 0.28] 3 28
0.2980000000000002 [-0.47, 0.29] 3 29
0.3730000000000003 [-0.47, 0.3] 3 30
0.5380000000000004 [-0.47, 0.31] 3 31
0.4100000000000003 [-0.47, 0.32] 3 32
0.34400000000000025 [-0.47, 0.33] 3 33
0.6200000000000004 [-0.47, 0.34] 3 34
0.3850000000000003 [-0.47, 0.35] 3 35
0.33600000000000024 [-0.47, 0.36] 3 36
2.5109999999998345 [-0.47, 0.37] 3 37
0.5510000000000004 [-0.47, 0.38] 3 38
0.47900000000000037 [-0.47, 0.39] 3 39
0.47100000000000036 [-0.47, 0.4] 3 40
0.5180000000000003 [-0.47, 0.41] 3 41
0.6790000000000005 [-0.47, 0.42] 3 42
0.3950000000000003 [-0.47, 0.43] 3 43
0.33600000000000024 [-0.47, 0.44] 3 44
0.5370000000000004 [-0.47, 0.45] 3 45
0.47800000000000037 [-0.47, 0.46] 3 46
0.5040000000000003 [-0.47, 0.47] 3 47
0.3800000000000003 [-0.47, 0.48] 3 48
0.7640000000000006 [-0.47, 0.49] 3 49
0.47500000000000037 [-0.47, 0.5] 3 50
0.3760000000000003 [-0.47, 0.51] 3 51
0.4230000000000003 [-0.47, 0.52] 3 52
0.7380000000000005 [-0.47, 0.53] 3 53
0.46700000000000036 [-0.47, 0.54] 3 54
0.7100000000000005 [-0.47, 0.55] 3 55
0.44300000000000034 [-0.47, 0.56] 3 56
0.4120000000000003 [-0.47, 0.57] 3 57
0.5150000000000003 [-0.47, 0.58] 3 58
0.7630000000000006 [-0.47, 0.59] 3 59
0.5130000000000003 [-0.47, 0.6] 3 60
0.5230000000000004 [-0.47, 0.61] 3 61
0.5570000000000004 [-0.47, 0.62] 3 62
0.4980000000000004 [-0.47, 0.63] 3 63
0.5030000000000003 [-0.47, 0.64] 3 64
0.5920000000000004 [-0.47, 0.65] 3 65
0.47100000000000036 [-0.47, 0.66] 3 66
0.5070000000000003 [-0.47, 0.67] 3 67
0.6790000000000005 [-0.47, 0.68] 3 68
0.5560000000000004 [-0.47, 0.69] 3 69
0.4990000000000004 [-0.47, 0.7] 3 70
0.5120000000000003 [-0.47, 0.71] 3 71
0.5640000000000004 [-0.47, 0.72] 3 72
0.5940000000000004 [-0.47, 0.73] 3 73
0.5680000000000004 [-0.47, 0.74] 3 74
0.5350000000000004 [-0.47, 0.75] 3 75
0.5460000000000004 [-0.47, 0.76] 3 76
0.6210000000000004 [-0.47, 0.77] 3 77
0.7570000000000006 [-0.47, 0.78] 3 78
0.6810000000000005 [-0.47, 0.79] 3 79
0.5780000000000004 [-0.47, 0.8] 3 80
0.6620000000000005 [-0.47, 0.81] 3 81
1.4639999999999496 [-0.47, 0.82] 3 82
0.5860000000000004 [-0.47, 0.83] 3 83
0.8010000000000006 [-0.47, 0.84] 3 84
0.6440000000000005 [-0.47, 0.85] 3 85
0.7870000000000006 [-0.47, 0.86] 3 86
0.6310000000000004 [-0.47, 0.87] 3 87
0.9140000000000007 [-0.47, 0.88] 3 88
0.6470000000000005 [-0.47, 0.89] 3 89
1.2249999999999759 [-0.47, 0.9] 3 90
0.8370000000000006 [-0.47, 0.91] 3 91
0.6720000000000005 [-0.47, 0.92] 3 92
0.7550000000000006 [-0.47, 0.93] 3 93
2.18899999999987 [-0.47, 0.94] 3 94
0.8640000000000007 [-0.47, 0.95] 3 95
0.7570000000000006 [-0.47, 0.96] 3 96
0.6980000000000005 [-0.47, 0.97] 3 97
0.6890000000000005 [-0.47, 0.98] 3 98
0.7340000000000005 [-0.47, 0.99] 3 99
0.23100000000000018 [-0.46, 0.0] 4 0
0.25200000000000017 [-0.46, 0.01] 4 1
0.35000000000000026 [-0.46, 0.02] 4 2
0.6690000000000005 [-0.46, 0.03] 4 3
0.22700000000000017 [-0.46, 0.04] 4 4
0.4960000000000004 [-0.46, 0.05] 4 5
0.2470000000000002 [-0.46, 0.06] 4 6
0.35800000000000026 [-0.46, 0.07] 4 7
0.4200000000000003 [-0.46, 0.08] 4 8
2.0739999999998826 [-0.46, 0.09] 4 9
0.23200000000000018 [-0.46, 0.1] 4 10
0.2750000000000002 [-0.46, 0.11] 4 11
0.2930000000000002 [-0.46, 0.12] 4 12
0.6930000000000005 [-0.46, 0.13] 4 13
0.25100000000000017 [-0.46, 0.14] 4 14
1.441999999999952 [-0.46, 0.15] 4 15
0.45800000000000035 [-0.46, 0.16] 4 16
0.34200000000000025 [-0.46, 0.17] 4 17
0.3030000000000002 [-0.46, 0.18] 4 18
0.32600000000000023 [-0.46, 0.19] 4 19
0.4160000000000003 [-0.46, 0.2] 4 20
0.7720000000000006 [-0.46, 0.21] 4 21
0.2680000000000002 [-0.46, 0.22] 4 22
0.43900000000000033 [-0.46, 0.23] 4 23
0.2850000000000002 [-0.46, 0.24] 4 24
0.6390000000000005 [-0.46, 0.25] 4 25
0.3870000000000003 [-0.46, 0.26] 4 26
0.2940000000000002 [-0.46, 0.27] 4 27
0.2730000000000002 [-0.46, 0.28] 4 28
0.2790000000000002 [-0.46, 0.29] 4 29
0.32500000000000023 [-0.46, 0.3] 4 30
0.44800000000000034 [-0.46, 0.31] 4 31
3.569999999999718 [-0.46, 0.32] 4 32
0.2900000000000002 [-0.46, 0.33] 4 33
0.5570000000000004 [-0.46, 0.34] 4 34
0.2980000000000002 [-0.46, 0.35] 4 35
0.5380000000000004 [-0.46, 0.36] 4 36
0.47900000000000037 [-0.46, 0.37] 4 37
0.35800000000000026 [-0.46, 0.38] 4 38
0.3180000000000002 [-0.46, 0.39] 4 39
0.32100000000000023 [-0.46, 0.4] 4 40
0.32600000000000023 [-0.46, 0.41] 4 41
0.36400000000000027 [-0.46, 0.42] 4 42
0.47600000000000037 [-0.46, 0.43] 4 43
0.8080000000000006 [-0.46, 0.44] 4 44
0.3730000000000003 [-0.46, 0.45] 4 45
0.4900000000000004 [-0.46, 0.46] 4 46
0.7860000000000006 [-0.46, 0.47] 4 47
0.5160000000000003 [-0.46, 0.48] 4 48
0.3740000000000003 [-0.46, 0.49] 4 49
0.7390000000000005 [-0.46, 0.5] 4 50
0.5640000000000004 [-0.46, 0.51] 4 51
0.45300000000000035 [-0.46, 0.52] 4 52
0.4040000000000003 [-0.46, 0.53] 4 53
0.3970000000000003 [-0.46, 0.54] 4 54
0.4040000000000003 [-0.46, 0.55] 4 55
0.4250000000000003 [-0.46, 0.56] 4 56
0.4900000000000004 [-0.46, 0.57] 4 57
0.6120000000000004 [-0.46, 0.58] 4 58
0.5350000000000004 [-0.46, 0.59] 4 59
0.44800000000000034 [-0.46, 0.6] 4 60
0.5590000000000004 [-0.46, 0.61] 4 61
0.9710000000000008 [-0.46, 0.62] 4 62
0.5010000000000003 [-0.46, 0.63] 4 63
0.7620000000000006 [-0.46, 0.64] 4 64
0.5580000000000004 [-0.46, 0.65] 4 65
0.5520000000000004 [-0.46, 0.66] 4 66
0.8340000000000006 [-0.46, 0.67] 4 67
0.5810000000000004 [-0.46, 0.68] 4 68
0.4970000000000004 [-0.46, 0.69] 4 69
0.6460000000000005 [-0.46, 0.7] 4 70
0.6340000000000005 [-0.46, 0.71] 4 71
1.2449999999999737 [-0.46, 0.72] 4 72
0.9310000000000007 [-0.46, 0.73] 4 73
0.9280000000000007 [-0.46, 0.74] 4 74
1.1389999999999854 [-0.46, 0.75] 4 75
0.6650000000000005 [-0.46, 0.76] 4 76
0.9610000000000007 [-0.46, 0.77] 4 77
0.5660000000000004 [-0.46, 0.78] 4 78
0.6120000000000004 [-0.46, 0.79] 4 79
0.7690000000000006 [-0.46, 0.8] 4 80
0.7460000000000006 [-0.46, 0.81] 4 81
0.5890000000000004 [-0.46, 0.82] 4 82
0.7640000000000006 [-0.46, 0.83] 4 83
0.7820000000000006 [-0.46, 0.84] 4 84
0.6760000000000005 [-0.46, 0.85] 4 85
0.7230000000000005 [-0.46, 0.86] 4 86
0.6770000000000005 [-0.46, 0.87] 4 87
0.9860000000000008 [-0.46, 0.88] 4 88
0.7500000000000006 [-0.46, 0.89] 4 89
0.6800000000000005 [-0.46, 0.9] 4 90
1.032999999999997 [-0.46, 0.91] 4 91
0.7240000000000005 [-0.46, 0.92] 4 92
0.6920000000000005 [-0.46, 0.93] 4 93
1.0799999999999919 [-0.46, 0.94] 4 94
0.8710000000000007 [-0.46, 0.95] 4 95
0.7470000000000006 [-0.46, 0.96] 4 96
0.6930000000000005 [-0.46, 0.97] 4 97
0.7530000000000006 [-0.46, 0.98] 4 98
1.2889999999999688 [-0.46, 0.99] 4 99
0.4150000000000003 [-0.45, 0.0] 5 0
0.5530000000000004 [-0.45, 0.01] 5 1
0.44400000000000034 [-0.45, 0.02] 5 2
0.23400000000000018 [-0.45, 0.03] 5 3
0.4030000000000003 [-0.45, 0.04] 5 4
0.3100000000000002 [-0.45, 0.05] 5 5
0.5040000000000003 [-0.45, 0.06] 5 6
0.3100000000000002 [-0.45, 0.07] 5 7
0.23800000000000018 [-0.45, 0.08] 5 8
0.23400000000000018 [-0.45, 0.09] 5 9
0.2420000000000002 [-0.45, 0.1] 5 10
0.32500000000000023 [-0.45, 0.11] 5 11
0.5390000000000004 [-0.45, 0.12] 5 12
0.2860000000000002 [-0.45, 0.13] 5 13
0.43200000000000033 [-0.45, 0.14] 5 14
0.2440000000000002 [-0.45, 0.15] 5 15
0.7050000000000005 [-0.45, 0.16] 5 16
0.5430000000000004 [-0.45, 0.17] 5 17
0.46300000000000036 [-0.45, 0.18] 5 18
0.48000000000000037 [-0.45, 0.19] 5 19
0.6390000000000005 [-0.45, 0.2] 5 20
0.7200000000000005 [-0.45, 0.21] 5 21
0.2790000000000002 [-0.45, 0.22] 5 22
0.5800000000000004 [-0.45, 0.23] 5 23
0.2670000000000002 [-0.45, 0.24] 5 24
0.4910000000000004 [-0.45, 0.25] 5 25
0.44500000000000034 [-0.45, 0.26] 5 26
0.32800000000000024 [-0.45, 0.27] 5 27
0.2880000000000002 [-0.45, 0.28] 5 28
0.2890000000000002 [-0.45, 0.29] 5 29
0.32500000000000023 [-0.45, 0.3] 5 30
0.4300000000000003 [-0.45, 0.31] 5 31
0.7490000000000006 [-0.45, 0.32] 5 32
0.3150000000000002 [-0.45, 0.33] 5 33
0.47300000000000036 [-0.45, 0.34] 5 34
0.35900000000000026 [-0.45, 0.35] 5 35
0.5880000000000004 [-0.45, 0.36] 5 36
0.3700000000000003 [-0.45, 0.37] 5 37
0.32900000000000024 [-0.45, 0.38] 5 38
0.7810000000000006 [-0.45, 0.39] 5 39
0.34300000000000025 [-0.45, 0.4] 5 40
0.6270000000000004 [-0.45, 0.41] 5 41
0.5740000000000004 [-0.45, 0.42] 5 42
0.34600000000000025 [-0.45, 0.43] 5 43
0.4170000000000003 [-0.45, 0.44] 5 44
0.6550000000000005 [-0.45, 0.45] 5 45
0.4100000000000003 [-0.45, 0.46] 5 46
0.5120000000000003 [-0.45, 0.47] 5 47
0.46900000000000036 [-0.45, 0.48] 5 48
0.6010000000000004 [-0.45, 0.49] 5 49
0.3980000000000003 [-0.45, 0.5] 5 50
0.6100000000000004 [-0.45, 0.51] 5 51
0.9990000000000008 [-0.45, 0.52] 5 52
0.6320000000000005 [-0.45, 0.53] 5 53
0.5690000000000004 [-0.45, 0.54] 5 54
0.5580000000000004 [-0.45, 0.55] 5 55
0.5870000000000004 [-0.45, 0.56] 5 56
0.6730000000000005 [-0.45, 0.57] 5 57
1.505999999999945 [-0.45, 0.58] 5 58
0.5850000000000004 [-0.45, 0.59] 5 59
